4odp,952 CA 953 CA 954 CA 955 CA 956 NI 957 958 959 960 961 962 963 964 965 966 967 968 969 970 971 972 973 974 975 976 977 978 979 980 981 982 983 984 985 986 987 988 989 990 991 992 993 994 995 996 997 998 999 O
4odq,993 CA 994 CA 995 CA 996 CA 997 NI 998 999 O
1a52,AU O
5kmh,CA
1qiw,CA
1mxl,CA
2kff,CA
5j7j,CA
6fkq,CA
6dyo,CA
2n27,CA
5vlh,CA
2kfg,CA
2kfh,CA
2kfx,CA
2krd,CA
2ksp,CA
2l1r,CA
2l98,CA
2lgf,CA
2llo,CA
2llq,CA
5n7g,CA
5mos,CA
5moq,CA
5moo,CA
5mon,CA
5mo0,CA
5mny,CA
5mnx,CA
1mwn,CA
5w4s,CA
1lxf,CA
2kdh,CA
1ctr,CA
1fax,CA
1ih0,CA
6mv3,CA
6k4r,CA
1g2m,CA
4avt,CA
1ff1,CA
3aav,CA CU O
3aas,CA CU O
3aau,CA CU O
5aer,CA K O
4i71,CA NI CA NI O O
4i73,CA NI CA NI O O
4i74,CA NI CA O O
2ff2,CA NI O O
4e1m,CA O
4e1n,CA O
6p8x,CA O
6pgp,CA O
4dk8,CA O
5tqe,CA O
5tp0,CA O
5t54,CA O
5t52,CA O
6p8z,CA O
5tqf,CA O
6ior,CA O
5std,CA O
5wzv,CA O
5wzu,CA O
4ele,CA O
4elb,CA O
5wzt,CA O
5wzs,CA O
6mx3,CA O
6mxe,CA O
5vll,CA O
5vlk,CA O
6ob0,CA O
4ef4,CA O
5va9,CA O
5uw5,CA O
5u6j,CA O
5tqg,CA O
5qj3,CA O
5owc,CA O
5qj2,CA O
6un3,CA O
6ueg,CA O
6szj,CA O
4cpy,CA O
5nzn,CA O
4lnw,CA O
4cpz,CA O
5o0s,CA O
4csy,CA O
6sze,CA O
6std,CA O
5odu,CA O
4deu,CA O
6sfc,CA O
4lkf,CA O
4lke,CA O
6rnt,CA O
5oxg,CA O
4elf,CA O
5ow8,CA O
5ost,CA O
4lj3,CA O
4ljh,CA O
4ktu,CA O
6pya,CA O
5oht,CA O
4lk7,CA O
4lkd,CA O
5ofx,CA O
5ofi,CA O
6pyb,CA O
4lk6,CA O
5wzw,CA O
4jze,CA O
5xs8,CA O
6f90,CA O
6m8y,CA O
6fgc,CA O
6fmi,CA O
4isi,CA O
4ish,CA O
6fmj,CA O
6fmk,CA O
6m8w,CA O
6fvm,CA O
6keb,CA O
6fvo,CA O
6iou,CA O
6g01,CA O
6g02,CA O
6g5j,CA O
6g8p,CA O
6inz,CA O
6i4x,CA O
6hp0,CA O
6hmy,CA O
6h9x,CA O
6gmx,CA O
6eq8,CA O
6gmq,CA O
6ghv,CA O
6gfz,CA O
6iot,CA O
4hgc,CA O
4fqo,CA O
6gfy,CA O
4gvu,CA O
6eq1,CA O
6eks,CA O
4j3u,CA O
6b7h,CA O
6b67,CA O
6b0y,CA O
6b0v,CA O
4jyu,CA O
4jyv,CA O
4est,CA O
4jzd,CA O
4elh,CA O
5yf1,CA O
6ios,CA O
4jzf,CA O
4k42,CA O
4k43,CA O
4eoy,CA O
4elg,CA O
6mm2,CA O
6bkx,CA O
6m9c,CA O
6eb1,CA O
6e5x,CA O
6dys,CA O
4jlh,CA O
6m9d,CA O
6bfp,CA O
6dyn,CA O
6dxg,CA O
6m9f,CA O
4f5y,CA O
6bvh,CA O
6bl2,CA O
6bl1,CA O
6dxl,CA O
6eb2,CA O
4w9c,CA O
4m5h,CA O
5est,CA O
5er5,CA O
5er4,CA O
5elf,CA O
5ele,CA O
5eg4,CA O
5e4w,CA O
5dkr,CA O
5dkn,CA O
5d9p,CA O
5d2a,CA O
5d21,CA O
5axi,CA O
5ar5,CA O
5apr,CA O
5aei,CA O
5aan,CA O
5etl,CA O
5a6x,CA O
5eto,CA O
5ful,CA O
4ovg,CA O
4ovh,CA O
5i89,CA O
4p5e,CA O
5i29,CA O
5gx7,CA O
5gx6,CA O
5gub,CA O
5g6u,CA O
5g61,CA O
5g60,CA O
5g3n,CA O
5g3m,CA O
5fyx,CA O
4pnu,CA O
5fwa,CA O
4pnw,CA O
5eym,CA O
4ovf,CA O
5a3o,CA O
4zxx,CA O
4wmy,CA O
4wk1,CA O
4wef,CA O
4ufi,CA O
4ufj,CA O
4ufk,CA O
4ufl,CA O
4ufm,CA O
4uix,CA O
4w9l,CA O
4w9k,CA O
4w9j,CA O
4w9i,CA O
4w9g,CA O
4w9e,CA O
4w9d,CA O
4uy1,CA O
4wn0,CA O
4zxy,CA O
4u91,CA O
4wq2,CA O
4yym,CA O
4ywa,CA O
4tsx,CA O
4yw7,CA O
4yw6,CA O
4yt7,CA O
4yt6,CA O
4xyn,CA O
4xjr,CA O
4xhe,CA O
4x8v,CA O
4x8u,CA O
4x8t,CA O
4x8s,CA O
4x8g,CA O
4x49,CA O
4wq3,CA O
4u2w,CA O
5iee,CA O
5ief,CA O
5ieg,CA O
4n98,CA O
4n99,CA O
4n9a,CA O
5mxx,CA O
4na9,CA O
4ng9,CA O
4nga,CA O
5mtw,CA O
5mno,CA O
5mnn,CA O
5mnh,CA O
5mng,CA O
5mnc,CA O
5mnb,CA O
5mn1,CA O
5mih,CA O
5mi7,CA O
5nin,CA O
5mi6,CA O
4mjr,CA O
4mjp,CA O
4m5i,CA O
4m5k,CA O
4m5l,CA O
5nzf,CA O
4m5m,CA O
5nze,CA O
5nz4,CA O
4v11,CA O
5nwe,CA O
5nw2,CA O
5nw0,CA O
5nvz,CA O
5nvy,CA O
5nvx,CA O
5nvw,CA O
5nvv,CA O
5npf,CA O
4mjq,CA O
4nyt,CA O
4o0j,CA O
5mi5,CA O
5kmf,CA O
4ojq,CA O
5kls,CA O
5kgx,CA O
5kgw,CA O
5kez,CA O
5kdf,CA O
5k5s,CA O
5k0h,CA O
4ok3,CA O
4ok5,CA O
4ok6,CA O
4oks,CA O
5jyy,CA O
5jap,CA O
5jao,CA O
5jan,CA O
5kv8,CA O
5kv9,CA O
5kva,CA O
5kzp,CA O
5mb1,CA O
5may,CA O
5lzh,CA O
5lli,CA O
4o55,CA O
4o5b,CA O
5lh8,CA O
5lh4,CA O
4m5g,CA O
5lgo,CA O
5l9l,CA O
5l9i,CA O
5l9g,CA O
5l30,CA O
5l2z,CA O
5l2y,CA O
5l17,CA O
5l15,CA O
5l9o,CA O
5nw1,CA O
7std,CA O
1o37,CA O
2ria,CA O
1rdl,CA O
1lhu,CA O
1rdn,CA O
2ri9,CA O
1rgk,CA O
1rgl,CA O
2qw1,CA O
1rxp,CA O
1sfi,CA O
2qpu,CA O
1td7,CA O
1tl9,CA O
1tlo,CA O
2q1j,CA O
1tng,CA O
2pwg,CA O
2pwd,CA O
3ncg,CA O
3nk8,CA O
3nkk,CA O
1kvo,CA O
3nok,CA O
1ksn,CA O
1tnh,CA O
1tni,CA O
1k1p,CA O
3o84,CA O
1tnj,CA O
2rib,CA O
3mwu,CA O
1lhw,CA O
1lpg,CA O
3lk1,CA O
3lle,CA O
2w26,CA O
1nc6,CA O
3lpt,CA O
3lpu,CA O
2vzr,CA O
3m35,CA O
3m36,CA O
2vwo,CA O
3m37,CA O
1mq6,CA O
1mq5,CA O
1qr3,CA O
3old,CA O
2vwn,CA O
1lqe,CA O
2vwl,CA O
2vvv,CA O
2vvu,CA O
2vvc,CA O
2vrj,CA O
1r17,CA O
1lqd,CA O
2vmc,CA O
2vl8,CA O
1rdi,CA O
1rdj,CA O
1lpz,CA O
1lpk,CA O
1mf4,CA O
3ole,CA O
3olg,CA O
3oli,CA O
2ogy,CA O
1hn4,CA O
1h9l,CA O
1utn,CA O
1h5v,CA O
3rxa,CA O
3rxb,CA O
3rxd,CA O
1uto,CA O
3rxe,CA O
3rxf,CA O
1h4w,CA O
2nqi,CA O
2nqg,CA O
1utm,CA O
3rxg,CA O
3rxi,CA O
3rxj,CA O
1utp,CA O
3rxk,CA O
2jkh,CA O
2jh6,CA O
1gvk,CA O
1gui,CA O
1gj6,CA O
2jh5,CA O
3rxl,CA O
3rxm,CA O
3rxo,CA O
3rxp,CA O
3rxh,CA O
3lk0,CA O
1hyv,CA O
1inc,CA O
1tnk,CA O
1tnl,CA O
1tps,CA O
3p9l,CA O
3pa8,CA O
1k1o,CA O
1k1n,CA O
3pty,CA O
2phb,CA O
1k1m,CA O
3q2j,CA O
1k1l,CA O
1k1j,CA O
3q3k,CA O
1hyz,CA O
1tx7,CA O
1jrs,CA O
1utj,CA O
1utl,CA O
3qlm,CA O
2p16,CA O
1j1a,CA O
3dgq,CA O
1j17,CA O
1j16,CA O
1j15,CA O
1j14,CA O
1iwq,CA O
2os9,CA O
2ork,CA O
1k1i,CA O
2jh0,CA O
3ljo,CA O
3liw,CA O
2zhd,CA O
2zft,CA O
2zfs,CA O
2zdn,CA O
2zdm,CA O
2zdl,CA O
2zdk,CA O
1ppi,CA O
1o3h,CA O
1o3g,CA O
1o3f,CA O
2yjq,CA O
1o3e,CA O
1o3d,CA O
1o3c,CA O
1o3b,CA O
1o39,CA O
3ga5,CA O
2yay,CA O
3gk1,CA O
3gk2,CA O
3gk4,CA O
3gpe,CA O
3gws,CA O
3gy2,CA O
3gy3,CA O
3gy4,CA O
1qb1,CA O
3gy7,CA O
3fl9,CA O
3fl8,CA O
2zp0,CA O
2zq1,CA O
1o5g,CA O
3dcq,CA O
1ocn,CA O
3d94,CA O
3cs7,CA O
3cr4,CA O
3ckb,CA O
3ck8,CA O
3ck7,CA O
1o3k,CA O
3c9e,CA O
1oh4,CA O
1oko,CA O
3eks,CA O
1o38,CA O
3ens,CA O
1oxr,CA O
1oyq,CA O
1oyt,CA O
3atm,CA O
1o3j,CA O
3atl,CA O
3atk,CA O
3ati,CA O
1ppc,CA O
3alt,CA O
1o3i,CA O
1pph,CA O
2zzu,CA O
2zq2,CA O
1oss,CA O
1o36,CA O
1qb6,CA O
2xn7,CA O
1o2r,CA O
2wq5,CA O
3jzb,CA O
3jzc,CA O
1o2q,CA O
1o2p,CA O
1o2o,CA O
1o2n,CA O
3k9x,CA O
1ql7,CA O
3kl6,CA O
1ql9,CA O
1o2k,CA O
1o2j,CA O
1o2s,CA O
2wca,CA O
1nfy,CA O
1nfx,CA O
1nfw,CA O
1nfu,CA O
2w87,CA O
2w73,CA O
2w68,CA O
3lc3,CA O
3lc5,CA O
2w4x,CA O
2w47,CA O
2w3o,CA O
2w3k,CA O
2w3i,CA O
1o2h,CA O
3ljj,CA O
2wyf,CA O
1o2u,CA O
2xn6,CA O
3hcm,CA O
1o35,CA O
2xn5,CA O
1qb9,CA O
1qbn,CA O
1qbo,CA O
3hfj,CA O
1o34,CA O
1o33,CA O
1o32,CA O
1o30,CA O
3hjo,CA O
1qcp,CA O
1o2t,CA O
2xc4,CA O
2xc0,CA O
3if7,CA O
2xbx,CA O
3iit,CA O
2xbw,CA O
2xbv,CA O
3imy,CA O
1o2z,CA O
1qi0,CA O
1o2y,CA O
1o2x,CA O
3iqq,CA O
1o2w,CA O
1o2v,CA O
3hpt,CA O
2jg8,CA O
1o3l,CA O
2jdu,CA O
4ab9,CA O
4aba,CA O
4abb,CA O
4abd,CA O
2jdy,CA O
4abe,CA O
4abf,CA O
4abg,CA O
4abh,CA O
4abi,CA O
4abj,CA O
1dva,CA O
4ab8,CA O
2bz6,CA O
4aoc,CA O
2bqw,CA O
1dhj,CA O
1dhi,CA O
1db5,CA O
1db4,CA O
2bq7,CA O
4awj,CA O
2bq6,CA O
2boj,CA O
2boi,CA O
1v2o,CA O
2bv4,CA O
4b9k,CA O
1e34,CA O
4a7i,CA O
3zdv,CA O
2ff1,CA O
1eld,CA O
1elc,CA O
1elb,CA O
1ela,CA O
2euf,CA O
2ei6,CA O
2e7f,CA O
2drc,CA O
3zq9,CA O
2cnh,CA O
1e37,CA O
2cn0,CA O
1v2k,CA O
1eb2,CA O
1v2l,CA O
3zyb,CA O
3zyf,CA O
2cf9,CA O
2cf8,CA O
2c4f,CA O
1v2n,CA O
3zyh,CA O
4a6s,CA O
1e5j,CA O
2cji,CA O
2fx6,CA O
4bae,CA O
2bmg,CA O
1bty,CA O
1y3x,CA O
1bra,CA O
1bma,CA O
1bjv,CA O
4c16,CA O
1y3w,CA O
1y3v,CA O
1y3p,CA O
1bju,CA O
1bjr,CA O
1bcj,CA O
4btu,CA O
1y3n,CA O
1alw,CA O
1ag9,CA O
4c1y,CA O
1xka,CA O
1wqv,CA O
1xa5,CA O
1x9d,CA O
1wss,CA O
1wv7,CA O
1wun,CA O
1wu1,CA O
1wtg,CA O
1auj,CA O
2boh,CA O
4btt,CA O
1w7x,CA O
4bb9,CA O
1v2p,CA O
1v2q,CA O
2aei,CA O
1zzz,CA O
1v2r,CA O
1v2s,CA O
1v2t,CA O
1v2u,CA O
1yyy,CA O
1yp9,CA O
1d2s,CA O
4bti,CA O
1ce5,CA O
1c5s,CA O
1c5q,CA O
1v2v,CA O
1v2w,CA O
1c5n,CA O
1v3x,CA O
1vzq,CA O
1w0y,CA O
1w2k,CA O
1y3y,CA O
4bks,CA O
4bkt,CA O
1c5t,CA O
1ele,CA O
2bza,CA O
1gi1,CA O
1gca,CA O
2ggu,CA O
1fjs,CA O
1f0u,CA O
3u8d,CA O
1f0t,CA O
1fo2,CA O
3u8h,CA O
3uix,CA O
3sw2,CA O
2jdk,CA O
3std,CA O
2jdm,CA O
1f0r,CA O
1f0s,CA O
3srg,CA O
1g5f,CA O
2j9n,CA O
2j78,CA O
1g36,CA O
3tcp,CA O
1g2l,CA O
2j4i,CA O
2j34,CA O
2jdh,CA O
2ivz,CA O
2j94,CA O
2hmh,CA O
2gvv,CA O
1g42,CA O
2ggx,CA O
2j95,CA O
1fo3,CA O
1ux7,CA O
2j7h,CA O
3soq,CA O
2jdp,CA O
3vi7,CA O
1v2j,CA O
2fxu,CA O
2jdn,CA O
3vi5,CA O
1gi6,CA O
1ezq,CA O
4zt5,CA O O
4zt4,CA O O
4ccd,CA O O
4ayu,CA O O
5z5f,CA O O
3b9g,CA O O
4eg4,CA O O
5g5z,CA O O
1hp0,CA O O
4avs,CA O O
4zt3,CA O O
4w9f,CA O OXT O
4w9h,CA O OXT O
3kqa,CA O OXT O
5mo2,CA O1
1gbt,CA S O
5tcj,CS O
6h76,CS O
6s07,CU CA O
1g3e,CU CA O
1g3d,CU CA O
1ibg,CU O
1bug,CU O
6ei4,CU O
5hjd,CU O
1jif,CU O
2a4w,CU O
5i38,CU O
6qxd,CU O
5oae,CU O
5gn7,FE
5gn9,FE
4kif,FE CA FE CA O
1g3c,FE CA O
5y6k,FE O
3i4y,FE O
4bqy,FE O
5hip,FE O
5v1b,FE O
1l6m,FE O
3hf8,FE O
4b8y,FE O
3hfb,FE O
1eoc,FE O
4k19,FE O
6ex0,FE O
3t3y,FE O
2xuz,FE O
3t4h,FE O
3w54,FE O
3t4v,FE O
5od5,FE O
2y34,FE O
3r5t,FE O
2xv1,FE O
3i51,FE O
5his,FE O
5j6d,FE O
5oah,FE O
5zdp,FE O
6n0k,FE O
3ouh,FE O
2g19,FE O
3lhs,FE O
5a5d,FE O
6n0j,FE O
5a5v,FE O
3hf6,FE O
4igq,FE O
3fmq,FE O
5tcy,FE O
5l01,FE O
3ouj,FE O
5ad1,FE O
3mz6,FE O
3oui,FE O
3fmr,FE O
3acl,FE O
4jpy,FE O
4rsc,FE O
6j63,FE O
6i0r,FE O
2buv,FE O
6h1h,FE O
6h7f,FE O
3vva,FE O
4rse,FE O
3fw4,FE O
5tpg,FE O
6h1i,FE O
3u0d,FE O
2lbv,GA
1ind,IN O
6nzg,K CA O
3rde,K FE O
3umo,K K K K O
4fxf,K K K K O
4m3p,K K K K O
3tz4,K K O
4dzy,K K O
5wdl,K O
4e8z,K O
5w19,K O
4e8y,K O
6cz3,K O
6nlj,K O
3szb,K O
5yfs,K O
4m7j,K O
4c71,K O
4c70,K O
4c72,K O
4c73,K O
4c6z,K O
4c6x,K O
4e0w,K O
4c6v,K O
5dsx,K O
5dry,K O
4c6u,K O
4dgr,K O
5ohy,K O
5yft,K O
4e8w,K O
4pyo,K O
5tzo,K O
3pp7,K O
4x11,K O
4x0z,K O
3jzo,K O
5k03,K O
5k09,K O
4j2t,K O
5k0b,K O
6b7f,K O
4g8n,K O
4x13,K O
3n5k,K O
4aro,K O
5ncq,K O
4hbw,K O
3u81,K O
4igr,K O
4kn2,K O
4kn1,K O
4oz1,K O
4kn0,K O
6q8p,K O
4x14,K O
3jzp,K O
1fpi,K O
3wav,K O
3waw,K O
4nwc,K O
4nwd,K O
5x4q,K O
4qbb,K O
4yb5,K O
5x9o,K O
5ujo,K O
6f29,K O
4kmz,K O
5ii2,K O
4x6j,K O
6b7d,K O
4pyn,K O
3way,K O
5u06,K O
3wax,K O
5npr,K O
5fhm,LI O
5ng9,LI O
4k1e,LI O
6q54,LI O
6q60,LI O
4o3c,LI O
4igt,LI O
6hv7,MG
3v01,MG
6bs5,MG
4pl3,MG
3zvt,MG
6hq4,MG
6v5l,MG
6agp,MG
3v04,MG
4pl5,MG
4pl4,MG
3r21,MG
4dhf,MG
5yjy,MG
3tfv,MG
6cc9,MG
6ccx,MG
5x9h,MG
4nym,MG
5mra,MG
4lmn,MG
1r10,MG
6pek,MG
2xto,MG
5uv5,MN
5wew,MN
3n5u,MN
5k8o,MN
4e5i,MN
5a3u,MN
6bau,NA
6awn,NA
6r7r,NA
6ajz,NA
4x2s,NA
6naf,NA
4d1a,NA
6bmi,NA
5l3e,NA
5t1w,NA
4d1b,NA
4d1c,NA
4ycn,NA
4qkx,NA
4m8t,NA
5llm,NA
6cnk,NA
5lm4,NA
4d1d,NA
6cse,NA
6csf,NA
4hod,NA
6cnj,NA
4ycm,NA
4mse,NI
4ufh,NI CA NI O
6n95,NI K NI O
6n94,NI K NI O
6n93,NI K NI O
6n92,NI K NI O
4x3k,NI K O
4pzw,NI O
4lm3,NI O
4pzx,NI O
3rdh,NI O
1icj,NI O
3rdo,NI O
6ow2,NI O
6ow7,NI O
3rdq,NI O
4lm4,NI O
4lm2,NI O
4ofl,NI O
4mrw,NI O
4n00,NI O
3q2m,NI O
1g27,NI O
6n97,NI O
3pke,NI O
4lm0,NI O
4lm1,NI O
3pgu,NI O
4llx,NI O
4msc,NI O
4msa,NI O
4ms0,NI O
4mrz,NI O
1g2a,NI O
4msn,NI O
3sw8,NI O
3e3u,NI O
4qew,NI O
4auy,NI O
2w2i,NI O
5k7h,NI O
4gui,NI O
2yol,NI O
4idz,NI O
4joo,NI O
4jp9,NI O
3cj2,NI O
3cj3,NI O
3cj4,NI O
4jpc,NI O
4jpe,NI O
4qev,NI O
5d3p,NI O
4av0,NI O
4avh,NI O
4avi,NI O
4avj,NI O
1ws1,NI O
4cxw,NI O
4cxx,NI O
4cxy,NI O
5v2p,NI O
2ai7,NI O
2ai8,NI O
3str,NI O
2aia,NI O
5yh8,NI O
5yqw,NI O
5n16,NI O
5mts,NI O
4eox,NI O
1s17,NI O
6r7d,NI O
2aie,NI O
1elr,NI O
4jzr,NI O
3iu9,NI O
3k0h,NI O
3k16,NI O
4lkq,NI O
5c3p,NI O
3iu8,NI O
4x68,NI O
4xcb,NI O
3u78,NI O
4llj,NI O
4lc7,NI O
6g3y,NI O
1fwe,NI O
4llk,NI O
4llp,NI O
4rrs,NI O
3h85,NI O
6euv,NI O
3g86,NI O
4rro,NI O
3fwv,NI O
4rrn,NI O
4k0o,NI O
4r5n,NI O
5bue,NI O
5bui,NI O
3k0k,NI O
3k15,NI O
3svj,NI O N CA CB SG C O OD1 OD2
2lbm,ZN
2p0x,ZN
5znr,ZN
6a94,ZN
6aej,ZN
1tft,ZN
1tfq,ZN
6a93,ZN
4bv2,ZN
2k1q,ZN
2k2g,ZN
5tv3,ZN
6u9v,ZN
5v3o,ZN
5vdq,ZN
1xxe,ZN
5vsk,ZN
5wg6,ZN
2kwn,ZN
6ak4,ZN
1jd6,ZN
4g0c,ZN
4k4f,ZN
3uik,ZN
5c7f,ZN
3d9z,ZN
1j37,ZN
3thb,ZN
5wep,ZN
1g3f,ZN
1p7m,ZN
4uw1,ZN
6cjh,ZN
1jd5,ZN
6iiv,ZN
2srt,ZN
2rr4,ZN
6boy,ZN
6bh8,ZN
4u01,ZN
6bc9,ZN
6bbs,ZN
6en4,ZN
1t69,ZN
3d67,ZN
